description;serial_number;protocol;callibration_data;validity
Расходомер Promass 83F25;830ED902000;№1541438;02.03.2018;01.03.2022
Расходомер Promass 83F08;9C0B6302000;№1571180;02.02.2017;01.02.2021
Расходомер Promass 83F50;A30FC402000;№1955892;12.02.2018;11.02.2022
Калибратор температуры ATC650 B;578727-01168;№1349589;26.07.2016;25.07.2018
Калибратор температуры АТС157В;567762-00611;№1790844;26.09.2017;25.09.2019
Калибратор температуры RТС156В;617870-00401;№1980458;23.03.2018;22.03.2020
pH метр WTW;Profiline pH3310 13201318;№1352674;04.08.2016;03.08.2017
Лазерная рулетка Leica Disto D3;180441252;№2251810;06.11.2018;05.11.2019
Калибратор давления MC5-R;25517407;№0985046;18.08.2015;18.08.2019
Калибратор давления MC6-R;605043;№1951826;04.04.2018;03.04.2019
